classes.code,classes.name,classid,cred,description,syllabus,term,years
3015,CIIC,0002,4,Introduction to Computer Programming I,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2020/03/CIIC-3015-Introduction-to-Computer-Programming-I.pdf,"First Semester, Second Semester",Every Year
3075,CIIC,0003,3,Foundations of Computing,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2023/10/CIIC-3075-Foundations-of-Computing.pdf,"First Semester, Second Semester",Every Year
3081,CIIC,0004,3,Computer Architecture I,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2023/10/CIIC-3081-Computer-Architecture-I.pdf,First Semester,Every Year
4010,CIIC,0005,4,Advanced Programming,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2023/10/CIIC-4010-Advanced-Programming.pdf,"First Semester, Second Semester",Every Year
4020,CIIC,0006,4,Data Structures,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2023/11/CIIC-4020-Data-Structures.pdf,"First Semester, Second Semester",Every Year
4025,CIIC,0007,3,Analysis and Design of Algorithms,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2019/11/CIIC-4025-Analysis-and-Design-of-Algorithms.pdf,Second Semester,Every Year
4030,CIIC,0008,3,Programming Languages,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2019/11/CIIC-4030-Programming-Languages.pdf,First Semester,Every Year
4050,CIIC,0009,4,Operating Systems,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2019/11/CIIC-4050-Operating-Systems.pdf,"First Semester, Second Semester",Every Year
4151,CIIC,0010,3,Senior Design Project I,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2019/11/CIIC-4151-Senior-Design-Project.pdf,First Semester,Every Year
4060,CIIC,0011,3,Database Systems,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2019/11/CIIC-4060-Database-Systems.pdf,Second Semester,Every Year
4070,CIIC,0012,3,Computer Networks,https://www.uprm.edu/cse/wp-content/uploads/sites/153/2019/11/CIIC-4070-Computer-Networks.pdf,Second Semester,Every Year
