mid,ccode,start,end,day
1,16,07:30:00,08:45:00,MJ
2,26,09:00:00,10:15:00,MJ
3,36,10:30:00,11:45:00,MJ
4,46,12:00:00,13:15:00,MJ
5,56,13:30:00,14:45:00,MJ
6,66,15:00:00,16:15:00,MJ
7,76,16:30:00,17:45:00,MJ
8,86,18:00:00,19:15:00,MJ
9,96,19:30:00,20:45:00,MJ
10,106,21:00:00,22:15:00,MJ
11,10,07:30:00,08:20:00,LWV
12,20,08:30:00,09:20:00,LWV
13,30,09:30:00,10:20:00,LWV
14,40,10:30:00,11:20:00,LWV
15,50,11:30:00,12:20:00,LWV
16,60,12:30:00,13:20:00,LWV
17,70,13:30:00,14:20:00,LWV
18,80,14:30:00,15:20:00,LWV
19,90,15:30:00,16:20:00,LWV
20,100,16:30:00,17:20:00,LWV
