mid,ccode,start,end,day
1,016,07:30:00,08:45:00,MJ
2,026,09:00:00,10:15:00,MJ
3,036,10:30:00,11:45:00,MJ
4,046,12:00:00,13:15:00,MJ
5,056,13:30:00,14:45:00,MJ
6,066,15:00:00,16:15:00,MJ
7,076,16:30:00,17:45:00,MJ
8,086,18:00:00,19:15:00,MJ
9,096,19:30:00,20:45:00,MJ
10,106,21:00:00,22:15:00,MJ
11,010,07:30:00,08:20:00,LWV
12,020,08:30:00,09:20:00,LWV
13,030,09:30:00,10:20:00,LWV
14,040,10:30:00,11:20:00,LWV
15,050,11:30:00,12:20:00,LWV
16,060,12:30:00,13:20:00,LWV
17,070,13:30:00,14:20:00,LWV
18,080,14:30:00,15:20:00,LWV
19,090,15:30:00,16:20:00,LWV
20,100,16:30:00,17:20:00,LWV
